construct,batch,design_id,success,protein_length,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal12_high_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,RF_score,threshold,predicted_work
puf_12_r4loopr4,previous,,0,520.0,46.57,3.582307692307692,0.953125,0.7665384615384615,0.16,0.6923076923076923,0.0620192307692307,3.0961538461538463,2.39358173076923,2.279807692307692,1.3170865384615384,1.234134615384615,1.1389903846153846,1.0610576923076924,88.036411066052,2.3323293,4.320919416821049,0.02025335775335775,0.5,0
puf_12_r4r4,previous,,0,513.0,48.545,3.734230769230769,0.9651249999999998,0.7963461538461538,0.1275,0.75,0.0682261208576998,3.4038461538461537,2.397465886939571,2.344541910331384,1.3196978557504873,1.267056530214425,1.1403947368421052,1.0867446393762183,89.21553596761967,2.1329672,4.309840938741319,0.017884936700726176,0.5,0
1_130_r123_r567_r567_r67_no_loop_8,new,1.0,1,505.0,50.86250019073486,3.912500023841859,0.9933749586343764,0.8438462466001511,0.0950000025331973,0.8076923076923077,0.0722772277227722,3.615384615384616,2.411519765853882,2.378712871287129,1.3589109182357788,1.3326732673267327,1.154598981142044,1.1277227722772276,91.60065118404697,1.4676996529102326,4.312637996673584,0.8536367068393046,0.5,1
2_130_r123_r567_r5loop67_r678,new,2.0,0,512.0,51.0649995803833,3.9280769228935246,0.9926250129938125,0.8400000631809235,0.0900000035762786,0.7692307692307693,0.07177734375,3.5961538461538467,2.422412157058716,2.3369140625,1.3599218428134918,1.2978515625,1.157958984375,1.09765625,89.99313859736455,1.7940428018569947,4.264688372612,0.07506708472671471,0.5,0
3_130_r123_r567_r56loop7_r678,new,3.0,0,512.0,50.88500118255615,3.914230883121491,0.9928750246763228,0.8409616500139236,0.0925000030547379,0.7692307692307693,0.072265625,3.615384615384616,2.4074756503105164,2.3408203125,1.3436132967472076,1.30810546875,1.1483251750469208,1.11572265625,90.78705651157924,1.5443603456020356,4.285419583320618,0.05443471056492879,0.5,0
4_130_r123_r567_r567_rloop678,new,4.0,0,512.0,49.50749778747559,3.808269083499909,0.981499969959259,0.8198077380657196,0.1100000012665986,0.7884615384615385,0.06982421875,3.5000000000000004,2.4203906655311584,2.3740234375,1.3538086414337158,1.3232421875,1.153486341238022,1.12255859375,90.27743490587376,1.785567307472229,4.267768287658691,0.38393639864081436,0.5,0
5_130_r123_r567_r567_r6loop78,new,5.0,0,512.0,51.00000095367432,3.923077046871185,0.9932499825954436,0.8436539471149445,0.100000001490116,0.8076923076923077,0.0712890625,3.615384615384616,2.413935601711273,2.36865234375,1.346484363079071,1.31640625,1.1442822217941284,1.11083984375,90.66634311297967,1.628047412633896,4.3180865287780765,0.05225124860205505,0.5,0
7_130_r123_r567_r567_rloop67loop8,new,7.0,0,519.0,50.92750072479248,3.917500078678131,0.9917499870061874,0.8409616351127625,0.0900000035762786,0.8076923076923077,0.071290944123314,3.653846153846154,2.43276971578598,2.3858381502890174,1.3508429527282717,1.323699421965318,1.1568882167339325,1.1276493256262043,90.51774184328838,1.744713765382767,4.294805121421814,0.4735328726540255,0.5,0
8_130_r123_r567_r567_r6loop7loop8,new,8.0,0,519.0,50.997501373291016,3.922884702682495,0.9933749586343764,0.8438462316989899,0.100000001490116,0.7884615384615385,0.071290944123314,3.634615384615385,2.4294798374176025,2.38728323699422,1.3472109735012054,1.3164739884393064,1.1505779922008514,1.1146435452793837,90.97296681444224,1.5922517418861388,4.317324423789978,0.23097912741848547,0.5,0
12_130_r123456654loop328,new,12.0,0,513.0,54.38750171661377,4.183654069900513,0.9934999346733092,0.8376923203468323,0.0900000035762786,0.7692307692307693,0.077485380116959,4.038461538461538,2.402772903442383,2.34551656920078,1.3443079888820648,1.2987329434697856,1.1622270941734314,1.1228070175438596,90.12626713912306,1.7058997213840486,4.30403847694397,0.10846658783955966,0.5,0
13_130_r12345665432loop8,new,13.0,0,513.0,54.065001487731934,4.158846259117127,0.9934999346733092,0.8386538922786713,0.0875000022351741,0.7692307692307693,0.0769980506822611,4.057692307692308,2.3447123169898987,2.260233918128656,1.303318738937378,1.239766081871345,1.1246978342533112,1.074074074074074,87.11021391740434,2.2643341302871702,4.330797362327576,0.0013888888888888887,0.5,0
14_130_r123456734loop568,new,14.0,0,513.0,53.35750198364258,4.10442316532135,0.9951249957084656,0.8388461768627167,0.0824999995529651,0.7692307692307693,0.074074074074074,3.846153846153846,2.384580910205841,2.322124756335283,1.3286648094654083,1.2821637426900585,1.1342154741287231,1.0916179337231968,89.85115988695082,1.7188756883144378,4.269808602333069,0.007196969696969697,0.5,0
15_130_r12345673456loop8,new,15.0,0,513.0,53.46750259399414,4.112884879112244,0.9958749860525132,0.8398077636957169,0.0900000035762786,0.7692307692307693,0.074074074074074,3.846153846153846,2.366871476173401,2.3089668615984404,1.3149464130401611,1.2714424951267056,1.1252436935901642,1.0833333333333337,90.1504017702435,1.6313070476055145,4.338703870773315,0.0013888888888888887,0.5,0
16_130_r12365673156loop8,new,16.0,0,513.0,52.767499923706055,4.059038400650024,0.9925000071525574,0.841153934597969,0.100000001490116,0.7692307692307693,0.074074074074074,3.75,2.3457359075546265,2.255360623781677,1.2863011360168457,1.2183235867446394,1.1041569113731384,1.0482456140350878,87.04319082104813,2.254375636577606,4.340678763389588,0.0013888888888888887,0.5,0
