CCR,construct,seed,density,success
CCR01,puf_12_r4loopr4,1,2.559999942779541,0
CCR01,puf_12_r4loopr4,2,2.5966665744781494,0
CCR01,puf_12_r4loopr4,3,2.5866668224334717,0
CCR01,puf_12_r4loopr4,4,2.7733333110809326,0
CCR01,puf_12_r4r4,1,2.616666555404663,0
CCR01,puf_12_r4r4,2,2.5933334827423096,0
CCR01,puf_12_r4r4,3,2.5933332443237305,0
CCR01,puf_12_r4r4,4,2.556666612625122,0
CCR02,puf12_r123_r5678_r56788,1,3.116666793823242,0
CCR02,puf12_r123_r5678_r56788,2,3.0933332443237305,0
CCR02,puf12_r123_r5678_r56788,3,3.1000001430511475,0
CCR02,puf12_r123_r5678_r56788,4,3.073333501815796,0
CCR02,puf12_r123_r5678_r5loop6788,1,3.0900001525878906,0
CCR02,puf12_r123_r5678_r5loop6788,2,3.1000001430511475,0
CCR02,puf12_r123_r5678_r5loop6788,3,3.0866668224334717,0
CCR02,puf12_r123_r5678_r5loop6788,4,3.0933332443237305,0
CCR02,puf12_r123_r567_r567_r678,2,3.109999895095825,1
CCR02,puf12_r123_r567_r567_r678,3,3.0866668224334717,1
CCR02,puf12_r123_r567_r567_r678,4,3.0900001525878906,1
CCR02,puf12_r123_r567_r567_r678,5,3.116666793823242,1
CCR02,puf12_r123_r567_r567_r678,6,3.116666793823242,1
CCR02,puf12_r123_r567_r5loop67_loopr678,1,3.1066665649414062,1
CCR02,puf12_r123_r567_r5loop67_loopr678,2,3.0966665744781494,1
CCR02,puf12_r123_r567_r5loop67_loopr678,3,3.1066665649414062,1
CCR02,puf12_r123_r567_r5loop67_loopr678,4,3.0966665744781494,1
CCR02,puf12_r123_r567_r5loop67_r678,1,3.0366666316986084,0
CCR02,puf12_r123_r567_r5loop67_r678,2,3.0299999713897705,0
CCR02,puf12_r123_r567_r5loop67_r678,3,3.0366668701171875,0
CCR02,puf12_r123_r567_r5loop67_r678,4,3.0266666412353516,0
CCR02,puf12_r123_r567_r6loopr7_r5678,1,3.0900001525878906,0
CCR02,puf12_r123_r567_r6loopr7_r5678,2,3.109999895095825,0
CCR02,puf12_r123_r567_r6loopr7_r5678,3,3.0966665744781494,0
CCR02,puf12_r123_r567_r6loopr7_r5loop678,1,3.0333335399627686,0
CCR02,puf12_r123_r567_r6loopr7_r5loop678,2,3.056666612625122,0
CCR02,puf12_r123_r567_r6loopr7_r5loop678,3,3.053333282470703,0
CCR02,puf12_r123_r567_r6loopr7_r5loop678,4,3.0433332920074463,0
CCR02,puf12_r123_r567_r6r7_r5678,1,3.073333501815796,1
CCR02,puf12_r123_r567_r6r7_r5678,2,3.0933334827423096,1
CCR02,puf12_r123_r567_r6r7_r5678,3,3.0933334827423096,1
CCR02,puf12_r123_r567_r6r7_r5678,4,3.0966670513153076,1
CCR02,puf_11_loopr8,1,3.0866668224334717,0
CCR02,puf_11_loopr8,2,3.0866668224334717,0
CCR02,puf_11_loopr8,3,3.0900001525878906,0
CCR02,puf_11_loopr8,4,3.1066665649414062,0
CCR02,puf_11_r8,1,3.073333501815796,0
CCR02,puf_11_r8,2,3.0866668224334717,0
CCR02,puf_11_r8,3,3.0833332538604736,0
CCR02,puf_11_r8,4,3.0799999237060547,0
CCR02,puf_12_loopr4loopr4,1,3.0399999618530273,0
CCR02,puf_12_loopr4loopr4,2,3.063333511352539,0
CCR02,puf_12_loopr4loopr4,3,3.053333282470703,0
CCR02,puf_12_loopr4loopr4,4,3.056666612625122,0
CCR02,puf_12_loopr4r4,1,3.0366668701171875,0
CCR02,puf_12_loopr4r4,2,3.053333282470703,0
CCR02,puf_12_loopr4r4,3,3.0500001907348633,0
CCR02,puf_12_loopr4r4,4,3.056666612625122,0
CCR02,puf_12_r4loopr4,1,3.046666383743286,0
CCR02,puf_12_r4loopr4,2,3.06000018119812,0
CCR02,puf_12_r4loopr4,3,3.049999952316284,0
CCR02,puf_12_r4loopr4,4,3.0466668605804443,0
CCR02,puf_12_r4r4,1,3.0366668701171875,0
CCR02,puf_12_r4r4,2,3.049999952316284,0
CCR02,puf_12_r4r4,3,3.0366666316986084,0
CCR02,puf_12_r4r4,4,3.066666841506958,0
