,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,core_anisotropy
p5_r6_syq,-0.01171875,-0.045856723625789186,0.0190255194590101,-0.01330520905589161,-0.004199218750000178,-0.017578125,-0.004667968749999973,0.0029492187499999822,-0.001953125,-2.279999999999994,-0.15200000000000014,0.0,-0.023333333333333428,-0.01999999999999999,-0.13333333333333353,-0.005859375,-0.33333333333333304,0.5933737420501615,-0.3225241359683402
p5_r6_thn,-0.009765625,0.6535736198480322,-0.07251943629057123,-0.02713158854839559,0.0024609374999999822,-0.005859375,-0.0011914062500000266,-0.001875000000000071,-0.0078125,1.160000000000018,0.0773333333333337,-0.0010000000000000009,0.005333333333333301,-0.009999999999999981,0.0,0.00390625,0.1333333333333342,0.3431204254849973,-0.3348238085476769
p5_r6_twd,-0.01953125,0.91817101624504,-0.04627860703627018,-0.018953871373176945,-0.008994140625000036,-0.0234375,-0.008623046874999929,-0.004990234375000124,-0.0126953125,-19.474999999999994,-1.298333333333333,-0.17200000000000004,-0.34633333333333327,-0.07999999999999999,-0.4333333333333335,-0.0419921875,-2.0333333333333323,0.5804622625895206,-0.1481827802303055
p5_r6_tye,0.005859375,0.919837453637939,0.03799883588119446,0.002585085141068255,0.0010937499999998934,0.001953125,0.0014453125000000178,0.0017773437499999378,0.0078125,-12.899999999999991,-0.8599999999999999,-0.0055000000000003935,-0.16466666666666663,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327,0.6997861633865199,-0.09104689358390594
p5_r6_vfn,-0.01953125,-0.2344454780787828,0.019905066584068987,-0.028089708513419076,-0.00798828124999984,-0.025390625,-0.007382812499999947,0.0004687499999997957,-0.009765625,-3.829999999999991,-0.25533333333333275,-0.004500000000000393,-0.03133333333333321,0.0,-0.06666666666666676,-0.0078125,-0.33333333333333304,0.18417239441372146,-0.34485487697315875
p6_r7_qfw,-0.015625,0.8005862448423926,-0.07258519131105734,0.04327393455428474,-0.012480468750000195,-0.021484375,-0.011269531249999742,-0.0087890625,-0.01171875,-12.15999999999999,-0.8106666666666666,-0.0025000000000001688,-0.16266666666666674,-0.12,-0.20000000000000018,-0.017578125,-0.8666666666666658,0.5717548836580448,0.328437856512112
p6_r7_qrw,-0.0234375,0.2268474788341166,0.033962464939735426,0.00854936935693651,-0.013144531250000036,-0.02734375,-0.011679687500000036,-0.002519531249999929,-0.013671875,-12.399999999999991,-0.8266666666666662,-0.010000000000000342,-0.16600000000000004,-0.12,-0.20000000000000018,-0.01953125,-0.8666666666666658,0.4782194801854871,0.07006664544520547
p6_r7_trq,0.01171875,0.7551385177105772,-0.02250153391624421,0.02239929464494228,0.004589843749999822,0.009765625,0.004140625000000009,0.005117187500000009,0.013671875,-12.39,-0.8260000000000001,-0.0030000000000002247,-0.16333333333333322,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327,0.6248748116081657,-0.08697029554912028
p6_r7_wfd,0.0,0.6161133132384009,-0.049278857760252315,0.04129833528410831,-0.0029882812499999467,-0.00390625,-0.0029882812499999467,-0.0016601562500000444,0.001953125,-15.929999999999993,-1.0619999999999998,-0.0020000000000000018,-0.16399999999999992,-0.12,-0.20000000000000018,-0.025390625,-1.1333333333333324,0.4395643628748047,0.4821979788795385
p6_r7_wfq,0.00390625,0.8344904299693212,-0.058126385120895296,0.06900648535886411,0.0008789062500000888,0.001953125,0.0010742187500001332,0.0024609374999999822,0.0078125,-15.789999999999992,-1.0526666666666662,-0.0020000000000000018,-0.16199999999999992,-0.12,-0.20000000000000018,-0.025390625,-1.1333333333333324,0.6929212772567155,0.45006491962502615
p7_r5_syvirr,0.0,0.4312888915663109,-0.004632247374378506,0.05145191277799377,-0.0025781250000003197,0.0,-0.004492187499999911,0.004082031250000062,0.0078125,-12.879999999999995,-0.8586666666666667,-0.021499999999999964,-0.17200000000000004,-0.12,-0.20000000000000018,-0.01953125,-0.9999999999999991,0.7470786520963628,0.3639298446909116
p8_r6_gve,0.005859375,0.6651026935087145,0.014424543383227295,-0.02475246095687833,3.906249999996447e-05,0.001953125,0.00041015625000007105,0.009296874999999982,0.017578125,-11.889999999999993,-0.7926666666666664,-0.009500000000000397,-0.16599999999999993,-0.12,-0.20000000000000018,-0.017578125,-0.7999999999999989,1.1102700174696878,-0.4902221685945882
