,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,core_anisotropy
p5_r6_syq,0.009765625,-0.026235038442450787,0.08303791973056174,0.005738102244592369,0.002519531249999929,0.0078125,0.0012109375000000089,0.0007031250000000266,0.0078125,2.740000000000002,0.18266666666666698,0.046499999999999875,0.053999999999999715,0.07,0.13333333333333341,0.005859375,0.33333333333333304,0.013239337989702449,-0.09937700401026994
p5_r6_thn,-0.005859375,-0.25874334401491694,0.07705292667664243,-0.020429100898600616,-0.002207031250000213,-0.0078125,-0.0033984375000000178,-0.004765625000000107,-0.005859375,-5.560000000000002,-0.37066666666666626,-0.17700000000000016,-0.13800000000000012,-0.020000000000000004,-0.19999999999999996,-0.009765625,-0.4666666666666668,-0.27105212959621383,-0.28459819076629955
p5_r6_twd,-0.01953125,-0.04475944433170298,-0.04262036642232281,0.17471290907009784,-0.009003906250000249,-0.021484375,-0.00603515624999984,-0.005175781249999956,-0.017578125,-6.399999999999999,-0.42666666666666675,-0.04000000000000026,-0.04866666666666675,-0.09,0.06666666666666665,-0.00390625,0.0,0.0853901067553835,2.0869070531074367
p5_r6_tye,0.001953125,0.35184881459686324,0.028635424222027916,-0.03806762072652514,-0.0003906250000000888,-0.001953125,0.0010742187500001332,-0.00015625000000007994,0.0,-3.3900000000000006,-0.22599999999999998,-0.08800000000000019,-0.09600000000000031,-0.03,-0.06666666666666665,-0.001953125,-0.13333333333333375,0.2499694696635828,-0.42173679485769355
p5_r6_vfn,-0.005859375,-0.26624239493145296,-0.090398465870972,0.07009875154050516,-0.0021484375000002665,-0.009765625,-0.00226562500000016,-0.00341796875,-0.0078125,-7.729999999999997,-0.515333333333333,-0.3125,-0.2506666666666668,-0.04000000000000001,-0.3333333333333333,-0.03515625,-1.6,-0.40562178063706256,0.5933964119412334
p6_r7_qfw,-0.0390625,-0.6211817489910203,-0.011448182153778186,0.03412552293212823,-0.015175781250000409,-0.041015625,-0.01621093749999991,-0.008945312500000524,-0.03125,-3.960000000000001,-0.2639999999999998,-0.09350000000000014,-0.1006666666666668,-0.03,-0.06666666666666665,-0.00390625,-0.2666666666666666,-0.3286368994174609,0.31733614407727373
p6_r7_qrw,-0.009765625,-0.6540484339770529,0.016171256341781737,0.11209754152937812,-0.008671875000000107,-0.01171875,-0.009375000000000133,-0.009160156250000107,-0.01171875,-8.449999999999996,-0.563333333333333,-0.2899999999999999,-0.24200000000000005,-0.06,-0.19999999999999996,-0.0234375,-1.0000000000000002,-0.7698090967545568,1.146652134884663
p6_r7_trq,0.0078125,0.1097729368179472,-0.077837400191896,0.1160616216651773,0.007480468749999858,0.005859375,0.005566406250000044,0.004785156249999867,0.0078125,-7.630000000000003,-0.5086666666666662,-0.2440000000000001,-0.20533333333333342,-0.05,-0.19999999999999996,-0.029296875,-1.2666666666666668,-0.004473899544379378,1.144215627018374
p6_r7_wfd,-0.013671875,-0.4615186457206164,-0.009657840126633621,0.1203288662517279,-0.0009570312500000178,-0.017578125,-0.0024218750000000178,-0.0032812500000001243,-0.013671875,-8.96,-0.5973333333333333,-0.33750000000000024,-0.3080000000000001,-0.09,-0.4,-0.033203125,-1.6,-0.48417731314465584,1.2954507639889083
p6_r7_wfq,-0.0234375,-0.9853520413397376,0.049095132016633736,0.16209188577672062,0.0006640624999998401,-0.029296875,0.0006835937500000444,0.004121093750000027,-0.01953125,-3.490000000000002,-0.2326666666666668,0.05799999999999961,0.017999999999999905,-0.08,0.06666666666666665,0.00390625,0.19999999999999973,-0.41903272740633213,1.7829422122109246
p7_r5_syvirr,-0.00390625,-0.7035212776481359,-0.015859033390840604,0.05301815442107127,0.0009570312499995737,-0.0078125,0.0006835937500000444,-0.0002539062499999911,-0.00390625,-14.199999999999996,-0.9466666666666668,-0.5005000000000002,-0.41400000000000015,-0.07,-0.6666666666666666,-0.05859375,-2.466666666666667,-0.6233848716997983,0.5903479194926202
p8_r6_gve,-0.01953125,-1.1151582494870524,0.02193082552757608,0.04274329597584181,-0.0034375000000004263,-0.01953125,-0.0068749999999999645,-0.0008984375000000711,-0.013671875,-11.75,-0.7833333333333332,-0.41400000000000015,-0.34333333333333343,-0.1,-0.4666666666666666,-0.046875,-2.066666666666667,-0.5147417363114926,0.3950935476836488
