group,C295,C388,C871,C388_note,construct
22 P6-R7-WFD,0.33418,0.71437,0.61433,71.44%｜Pos388 Ref=C Alt=T DP=7044 Ref_dp=1983 Alt_dp=5032 Freq=0.71437,P6-R7-WFD
23 P6-R7-WFQ,0.23752,0.63402,0.43751,63.40%｜Pos388 Ref=C Alt=T DP=7137 Ref_dp=2575 Alt_dp=4525 Freq=0.63402,P6-R7-WFQ
23 P6-R7-WFQ,0.24565,0.66905,0.47448,66.91%｜Pos388 Ref=C Alt=T DP=5457 Ref_dp=1786 Alt_dp=3651 Freq=0.66905,P6-R7-WFQ
24 P6-R7-QFW,0.35304,0.66714,0.54929,66.71%｜Pos388 Ref=C Alt=T DP=5606 Ref_dp=1845 Alt_dp=3740 Freq=0.66714,P6-R7-QFW
24 P6-R7-QFW,0.36305,0.68854,0.56505,68.85%｜Pos388 Ref=C Alt=T DP=6264 Ref_dp=1929 Alt_dp=4313 Freq=0.68854,P6-R7-QFW
25 P4-R5-SHE+P7-R5-SHE,0.36914,0.75476,0.71646,75.48%｜Pos388 Ref=C Alt=T DP=7503 Ref_dp=1797 Alt_dp=5663 Freq=0.75476,P4-R5-SHE+P7-R5-SHE
25 P4-R5-SHE+P7-R5-SHE,0.36878,0.75152,0.71594,75.15%｜Pos388 Ref=C Alt=T DP=7095 Ref_dp=1725 Alt_dp=5332 Freq=0.75152,P4-R5-SHE+P7-R5-SHE
26 P7-R5-SYVIRR,0.44853,0.80129,0.27913,80.13%｜Pos388 Ref=C Alt=T DP=4328 Ref_dp=840 Alt_dp=3468 Freq=0.80129,P7-R5-SYVIRR
26 P7-R5-SYVIRR,0.45669,0.78625,0.28218,78.62%｜Pos388 Ref=C Alt=T DP=6213 Ref_dp=1304 Alt_dp=4885 Freq=0.78625,P7-R5-SYVIRR
27 P4-R5-YTH+P7-R5-YTH,0.0,0.0,0.10811,0.00%｜Pos388 Ref=C Alt=T 未检出对应C>T记录（variant表）,P4-R5-YTH+P7-R5-YTH
27 P4-R5-YTH+P7-R5-YTH,0.0,0.0,0.1124,0.00%｜Pos388 Ref=C Alt=T 未检出对应C>T记录（variant表）,P4-R5-YTH+P7-R5-YTH
28 P4-R5-YYE+P7-P5-YYE,0.0,0.08336,0.08403,8.34%｜Pos388 Ref=C Alt=T DP=6790 Ref_dp=6206 Alt_dp=566 Freq=0.08336,P4-R5-YYE+P7-P5-YYE
28 P4-R5-YYE+P7-P5-YYE,0.0,0.08997,0.08244,9.00%｜Pos388 Ref=C Alt=T DP=5313 Ref_dp=4818 Alt_dp=478 Freq=0.08997,P4-R5-YYE+P7-P5-YYE
30 P4-R5-THE+P7-R5-THE,0.15718,0.67446,0.26693,67.45%｜Pos388 Ref=C Alt=T DP=5557 Ref_dp=1788 Alt_dp=3748 Freq=0.67446,P4-R5-THE+P7-R5-THE
30 P4-R5-THE+P7-R5-THE,0.17555,0.70182,0.27779,70.18%｜Pos388 Ref=C Alt=T DP=3575 Ref_dp=1047 Alt_dp=2509 Freq=0.70182,P4-R5-THE+P7-R5-THE
31 P8-R6-GVE,0.2414,0.64894,0.09904,64.89%｜Pos388 Ref=C Alt=T DP=6714 Ref_dp=2319 Alt_dp=4357 Freq=0.64894,P8-R6-GVE
31 P8-R6-GVE,0.26306,0.66819,0.10551,66.82%｜Pos388 Ref=C Alt=T DP=5681 Ref_dp=1860 Alt_dp=3796 Freq=0.66819,P8-R6-GVE
29 P4-R5-SNE+P7-R5-SNE,0.19008,0.78801,0.31936,78.80%｜Pos388 Ref=C Alt=T DP=5703 Ref_dp=1174 Alt_dp=4494 Freq=0.78801,P4-R5-SNE+P7-R5-SNE
29 P4-R5-SNE+P7-R5-SNE,0.20599,0.81869,0.33259,81.87%｜Pos388 Ref=C Alt=T DP=5416 Ref_dp=952 Alt_dp=4434 Freq=0.81869,P4-R5-SNE+P7-R5-SNE
PUF12-9,0.32894,0.72877,0.67231,72.88%｜Pos388 Ref=C Alt=T DP=5770 Ref_dp=1537 Alt_dp=4205 Freq=0.72877,PUF12-9
PUF12-9,0.33022,0.72245,0.67772,72.25%｜Pos388 Ref=C Alt=T DP=4446 Ref_dp=1213 Alt_dp=3212 Freq=0.72245,PUF12-9
